Motivation_Level,Peer_Influence,Access_to_Resources,Parental_Involvement,Gender_Male,Extracurricular_Activities_Yes,Learning_Disabilities_Yes,Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Stress_Proxy,Target
0.0,1.0,2.0,1.0,1.0,1.0,0.0,14.0,89.0,6.0,94.0,0.0,2.0,0.6939,1
0.0,2.0,0.0,1.0,0.0,1.0,0.0,22.0,81.0,7.0,80.0,1.0,3.0,0.6,1
0.0,2.0,2.0,1.0,1.0,0.0,0.0,28.0,94.0,7.0,60.0,1.0,3.0,0.5545,1
2.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,67.0,8.0,52.0,3.0,3.0,0.3167,0
1.0,0.0,1.0,2.0,1.0,1.0,0.0,22.0,71.0,8.0,63.0,2.0,2.0,0.4,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,19.0,79.0,9.0,82.0,1.0,4.0,0.3894,1
1.0,1.0,2.0,2.0,1.0,0.0,1.0,20.0,86.0,7.0,73.0,3.0,3.0,0.4485,1
1.0,2.0,1.0,1.0,1.0,1.0,0.0,17.0,71.0,8.0,90.0,5.0,1.0,0.4379,1
0.0,1.0,2.0,0.0,1.0,0.0,0.0,11.0,89.0,9.0,69.0,1.0,3.0,0.6167,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,91.0,8.0,93.0,0.0,3.0,0.4606,1
0.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,100.0,9.0,76.0,1.0,2.0,0.5636,1
1.0,1.0,1.0,0.0,0.0,1.0,0.0,15.0,69.0,9.0,52.0,0.0,3.0,0.4197,0
1.0,1.0,0.0,2.0,1.0,0.0,0.0,16.0,90.0,6.0,90.0,2.0,3.0,0.5121,1
0.0,0.0,2.0,1.0,0.0,1.0,0.0,27.0,62.0,5.0,63.0,4.0,4.0,0.6288,1
1.0,2.0,2.0,1.0,1.0,0.0,1.0,20.0,96.0,9.0,70.0,2.0,2.0,0.3818,1
0.0,0.0,2.0,1.0,0.0,0.0,0.0,24.0,93.0,4.0,56.0,4.0,2.0,0.6848,1
2.0,2.0,1.0,0.0,0.0,1.0,0.0,18.0,78.0,9.0,59.0,0.0,1.0,0.2303,0
2.0,1.0,2.0,2.0,1.0,0.0,1.0,14.0,68.0,5.0,51.0,1.0,5.0,0.3939,0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0,97.0,7.0,81.0,3.0,3.0,0.4485,1
0.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,98.0,6.0,70.0,1.0,3.0,0.6864,1
1.0,0.0,2.0,1.0,0.0,1.0,0.0,28.0,73.0,6.0,96.0,1.0,0.0,0.4212,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,68.0,7.0,63.0,0.0,3.0,0.4712,0
2.0,0.0,1.0,2.0,1.0,1.0,1.0,19.0,77.0,5.0,86.0,0.0,4.0,0.3561,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,80.0,8.0,51.0,4.0,5.0,0.5364,0
0.0,1.0,2.0,2.0,1.0,1.0,0.0,30.0,87.0,6.0,66.0,1.0,4.0,0.5727,1
2.0,1.0,1.0,2.0,0.0,1.0,0.0,23.0,75.0,8.0,80.0,0.0,4.0,0.2258,1
1.0,1.0,2.0,2.0,1.0,0.0,0.0,21.0,61.0,9.0,81.0,1.0,3.0,0.3742,1
0.0,1.0,1.0,1.0,0.0,1.0,0.0,14.0,98.0,7.0,84.0,3.0,3.0,0.6606,1
2.0,2.0,1.0,1.0,1.0,1.0,0.0,17.0,64.0,7.0,78.0,1.0,3.0,0.3045,0
1.0,0.0,1.0,2.0,1.0,0.0,0.0,29.0,78.0,6.0,92.0,2.0,4.0,0.4136,1
1.0,2.0,1.0,0.0,1.0,0.0,0.0,30.0,73.0,7.0,68.0,0.0,2.0,0.3727,1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,28.0,85.0,9.0,81.0,2.0,3.0,0.4879,1
1.0,1.0,2.0,2.0,1.0,1.0,0.0,15.0,86.0,10.0,68.0,0.0,5.0,0.3864,1
1.0,1.0,2.0,1.0,1.0,1.0,0.0,16.0,84.0,5.0,53.0,2.0,1.0,0.5455,1
2.0,1.0,1.0,0.0,1.0,1.0,0.0,19.0,84.0,8.0,90.0,2.0,3.0,0.2561,1
1.0,2.0,2.0,2.0,1.0,1.0,0.0,22.0,68.0,8.0,56.0,3.0,1.0,0.4,1
1.0,1.0,1.0,0.0,1.0,1.0,0.0,18.0,93.0,7.0,69.0,0.0,2.0,0.4636,1
2.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,95.0,7.0,62.0,0.0,3.0,0.3197,1
1.0,1.0,2.0,2.0,1.0,0.0,0.0,16.0,86.0,8.0,99.0,4.0,4.0,0.4455,1
0.0,1.0,1.0,0.0,1.0,1.0,1.0,16.0,95.0,6.0,69.0,2.0,3.0,0.6788,1
1.0,2.0,2.0,1.0,1.0,0.0,0.0,30.0,81.0,6.0,76.0,0.0,3.0,0.4061,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,17.0,72.0,8.0,61.0,1.0,4.0,0.4379,0
0.0,2.0,1.0,0.0,0.0,1.0,0.0,23.0,76.0,6.0,78.0,2.0,2.0,0.6258,1
1.0,2.0,1.0,1.0,1.0,0.0,0.0,20.0,98.0,6.0,80.0,0.0,2.0,0.4818,1
1.0,2.0,1.0,2.0,1.0,1.0,0.0,22.0,86.0,7.0,56.0,1.0,4.0,0.4333,1
1.0,1.0,2.0,0.0,1.0,1.0,0.0,24.0,93.0,8.0,56.0,1.0,3.0,0.3848,1
2.0,1.0,1.0,1.0,1.0,0.0,0.0,27.0,82.0,8.0,51.0,3.0,2.0,0.1955,1
1.0,2.0,1.0,2.0,0.0,1.0,1.0,20.0,73.0,5.0,89.0,2.0,5.0,0.5152,1
1.0,2.0,1.0,1.0,1.0,1.0,0.0,24.0,68.0,7.0,96.0,1.0,3.0,0.4182,1
0.0,1.0,0.0,2.0,1.0,1.0,0.0,26.0,61.0,7.0,95.0,0.0,3.0,0.5697,1
0.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,74.0,7.0,60.0,2.0,3.0,0.653,0
0.0,1.0,2.0,1.0,0.0,0.0,0.0,20.0,87.0,10.0,75.0,3.0,2.0,0.5152,1
0.0,2.0,2.0,2.0,1.0,1.0,0.0,24.0,100.0,6.0,86.0,2.0,5.0,0.6182,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,70.0,7.0,93.0,1.0,4.0,0.5091,0
2.0,0.0,1.0,1.0,1.0,1.0,0.0,14.0,94.0,7.0,62.0,2.0,1.0,0.3273,1
1.0,2.0,1.0,0.0,1.0,1.0,0.0,20.0,89.0,9.0,95.0,3.0,3.0,0.3818,1
0.0,1.0,1.0,2.0,1.0,1.0,0.0,21.0,94.0,8.0,100.0,0.0,3.0,0.5742,1
1.0,2.0,2.0,1.0,0.0,1.0,0.0,20.0,68.0,5.0,82.0,1.0,3.0,0.5152,1
1.0,1.0,2.0,1.0,0.0,1.0,0.0,25.0,71.0,6.0,73.0,1.0,4.0,0.4439,1
0.0,2.0,1.0,1.0,1.0,1.0,0.0,24.0,77.0,8.0,78.0,2.0,3.0,0.5515,1
0.0,0.0,2.0,0.0,1.0,0.0,0.0,16.0,65.0,9.0,96.0,2.0,2.0,0.5788,0
2.0,2.0,1.0,2.0,1.0,0.0,0.0,17.0,95.0,5.0,62.0,1.0,3.0,0.3712,1
1.0,0.0,2.0,1.0,1.0,0.0,0.0,19.0,67.0,5.0,77.0,1.0,4.0,0.5227,1
1.0,1.0,1.0,2.0,0.0,1.0,0.0,26.0,91.0,7.0,79.0,1.0,5.0,0.403,1
0.0,1.0,1.0,2.0,1.0,1.0,1.0,19.0,79.0,10.0,59.0,1.0,3.0,0.5227,1
2.0,2.0,1.0,1.0,1.0,1.0,0.0,9.0,96.0,4.0,82.0,0.0,4.0,0.4652,1
